,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label_col
0,0,42.0,0.71,21.25,0.43,30.0,0.0,bending
1,250,41.5,0.5,20.25,1.48,31.25,1.09,bending
2,500,41.5,0.5,14.25,1.92,33.0,0.0,bending
3,750,40.75,0.83,15.75,0.43,33.0,0.0,bending
4,1000,40.0,0.71,20.0,2.74,32.75,0.43,bending
5,1250,41.25,0.83,24.25,0.43,31.5,0.87,bending
6,1500,42.25,0.43,23.75,0.43,35.25,1.3,bending
7,1750,43.5,0.87,21.0,0.0,36.0,0.0,bending
8,2000,42.75,0.83,21.25,0.43,36.0,0.0,bending
9,2250,43.25,0.43,23.75,0.43,36.0,0.0,bending
10,2500,43.25,0.83,24.5,0.5,36.0,0.0,bending
11,2750,43.75,0.43,24.25,0.43,36.0,0.0,bending
12,3000,44.33,0.47,24.0,0.0,36.0,0.0,bending
13,3250,44.5,0.5,24.0,0.0,36.0,0.0,bending
14,3500,44.75,0.43,24.0,0.0,36.0,0.0,bending
15,3750,45.0,0.0,24.0,0.0,36.25,0.43,bending
16,4000,45.0,0.0,23.75,0.43,36.0,0.0,bending
17,4250,45.0,0.0,23.25,1.3,36.0,0.0,bending
18,4500,45.0,0.0,24.0,0.0,36.5,0.5,bending
19,4750,45.0,0.0,21.5,1.5,37.0,1.0,bending
20,5000,45.0,0.0,19.5,1.12,37.5,1.5,bending
21,5250,45.0,0.0,21.0,0.0,37.0,1.0,bending
22,5500,45.0,0.0,22.75,0.83,36.5,0.5,bending
23,5750,45.0,0.0,24.0,0.0,36.25,0.43,bending
24,6000,45.0,0.0,23.25,0.83,36.75,0.83,bending
25,6250,45.0,0.0,23.75,0.43,37.0,1.0,bending
26,6500,45.0,0.0,23.5,0.5,37.0,1.0,bending
27,6750,45.0,0.0,23.67,0.47,36.0,0.0,bending
28,7000,45.0,0.0,24.0,0.0,36.33,0.47,bending
29,7250,45.0,0.0,24.0,0.0,36.25,0.43,bending
30,7500,45.0,0.0,24.5,0.5,35.25,1.3,bending
31,7750,45.0,0.0,24.75,0.83,35.25,1.3,bending
32,8000,44.5,0.5,24.0,0.0,35.25,1.3,bending
33,8250,44.5,0.5,24.0,0.0,36.0,0.0,bending
34,8500,44.5,0.5,24.0,0.0,36.0,0.0,bending
35,8750,44.25,0.83,24.0,0.0,36.0,0.0,bending
36,9000,44.5,0.5,24.0,0.0,36.0,0.0,bending
37,9250,44.5,0.5,24.0,0.0,36.0,0.0,bending
38,9500,44.5,0.5,24.0,0.0,36.0,0.0,bending
39,9750,44.0,0.71,24.0,0.0,36.0,0.0,bending
40,10000,44.33,0.47,24.0,0.0,36.0,0.0,bending
41,10250,43.75,0.43,24.0,0.0,36.0,0.0,bending
42,10500,44.5,0.5,24.0,0.0,36.0,0.0,bending
43,10750,44.33,0.47,24.0,0.0,36.0,0.0,bending
44,11000,44.5,0.5,24.0,0.0,36.0,0.0,bending
45,11250,44.5,0.5,24.0,0.0,36.0,0.0,bending
46,11500,44.0,0.71,24.0,0.0,36.0,0.0,bending
47,11750,43.75,0.43,24.25,0.43,35.5,1.5,bending
48,12000,44.75,0.43,23.75,0.43,36.0,0.0,bending
49,12250,45.0,0.0,24.0,0.0,36.0,0.0,bending
50,12500,45.0,0.0,24.0,0.0,36.0,0.0,bending
51,12750,44.5,0.5,23.75,0.43,36.0,0.0,bending
52,13000,44.67,0.47,24.0,0.0,34.0,1.41,bending
53,13250,44.5,0.5,24.0,0.0,36.0,0.0,bending
54,13500,44.33,0.47,23.67,0.47,36.0,0.0,bending
55,13750,44.5,0.5,24.0,0.0,35.25,1.3,bending
56,14000,44.5,0.5,23.75,0.43,36.0,0.0,bending
57,14250,44.5,0.5,24.0,0.0,36.0,0.0,bending
58,14500,44.0,0.71,23.0,1.22,36.5,0.5,bending
59,14750,44.25,0.43,22.0,1.0,36.5,0.5,bending
60,15000,44.5,0.5,23.0,1.22,36.25,0.43,bending
61,15250,44.5,0.5,24.0,0.0,37.0,1.22,bending
62,15500,44.5,0.5,24.0,0.0,37.25,0.83,bending
63,15750,44.5,0.5,24.0,0.0,36.75,0.83,bending
64,16000,44.5,0.5,21.75,1.3,36.75,0.83,bending
65,16250,44.5,0.5,23.0,1.22,37.25,1.3,bending
66,16500,44.75,0.43,25.0,0.0,36.67,0.94,bending
67,16750,45.0,0.0,24.0,0.0,36.67,0.94,bending
68,17000,45.0,0.0,24.0,0.0,37.0,1.0,bending
69,17250,44.67,0.47,22.25,1.09,37.33,0.94,bending
70,17500,44.5,0.5,20.75,0.43,37.0,1.0,bending
71,17750,44.33,0.47,21.0,0.0,37.0,1.0,bending
72,18000,44.5,0.5,20.75,0.43,36.5,0.5,bending
73,18250,44.5,0.5,21.0,0.0,36.5,0.5,bending
74,18500,44.5,0.5,21.75,0.83,36.75,0.83,bending
75,18750,44.5,0.5,22.75,1.64,36.75,1.3,bending
76,19000,44.5,0.5,21.75,0.43,36.5,0.5,bending
77,19250,44.5,0.5,21.0,0.0,36.0,0.0,bending
78,19500,44.5,0.5,20.75,1.09,36.0,0.0,bending
79,19750,44.0,1.0,23.0,0.71,36.0,0.0,bending
80,20000,42.75,0.83,24.0,0.0,36.0,0.0,bending
81,20250,41.5,0.5,23.0,1.0,36.0,0.0,bending
82,20500,42.0,0.0,24.0,0.0,36.0,0.0,bending
83,20750,42.0,0.0,23.75,0.43,36.0,0.0,bending
84,21000,42.0,0.0,24.0,0.0,36.5,0.5,bending
85,21250,42.25,0.43,24.25,0.43,36.5,0.5,bending
86,21500,42.33,0.47,24.0,0.0,36.67,0.47,bending
87,21750,42.33,0.47,24.0,0.0,36.67,0.47,bending
