,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label_col
0,0,42.0,0.0,18.5,0.5,12.0,0.0,bending
1,250,42.0,0.0,18.0,0.0,11.33,0.94,bending
2,500,42.75,0.43,16.75,1.79,18.25,0.43,bending
3,750,42.5,0.5,16.75,0.83,19.0,1.22,bending
4,1000,43.0,0.82,16.25,0.83,18.0,0.0,bending
5,1250,43.67,0.47,12.75,0.83,19.0,0.82,bending
6,1500,43.5,0.5,12.0,0.0,19.75,0.43,bending
7,1750,43.5,0.5,13.75,0.83,18.5,0.5,bending
8,2000,43.33,0.47,15.33,0.47,20.5,0.5,bending
9,2250,43.5,0.5,18.0,1.87,20.5,0.87,bending
10,2500,43.5,0.5,18.5,0.5,19.5,1.66,bending
11,2750,43.75,0.83,19.67,0.47,16.0,0.82,bending
12,3000,44.25,0.43,21.0,0.0,17.2,0.75,bending
13,3250,44.0,0.71,21.0,0.0,16.5,0.87,bending
14,3500,43.75,0.83,19.25,1.3,17.25,2.28,bending
15,3750,43.75,0.43,20.0,1.41,19.33,0.94,bending
16,4000,43.33,0.94,18.0,1.41,21.33,0.47,bending
17,4250,42.5,0.87,13.75,1.3,19.5,1.66,bending
18,4500,42.33,0.47,17.0,1.41,16.25,1.3,bending
19,4750,41.75,0.43,17.25,0.83,14.0,1.0,bending
20,5000,41.5,0.5,15.5,1.12,17.0,1.22,bending
21,5250,42.0,0.0,16.5,0.5,19.25,0.83,bending
22,5500,42.67,0.47,17.0,1.22,22.0,1.63,bending
23,5750,42.0,0.0,15.0,0.0,23.5,0.5,bending
24,6000,41.5,0.5,14.67,0.47,24.0,0.0,bending
25,6250,40.75,0.83,15.0,1.22,23.75,0.43,bending
26,6500,41.5,0.5,17.25,0.83,24.75,1.3,bending
27,6750,42.0,0.0,16.0,0.0,27.33,0.47,bending
28,7000,42.0,0.0,15.33,2.49,28.5,0.87,bending
29,7250,42.0,0.0,8.0,3.27,26.75,1.79,bending
30,7500,42.75,0.83,11.25,3.34,23.0,1.22,bending
31,7750,42.67,0.47,10.67,1.25,21.0,0.0,bending
32,8000,42.2,0.4,12.2,0.4,21.17,0.37,bending
33,8250,42.75,0.43,14.5,0.5,21.0,0.0,bending
34,8500,43.5,0.5,15.0,0.0,21.0,0.0,bending
35,8750,43.67,0.47,15.0,0.0,21.33,0.47,bending
36,9000,44.5,0.5,15.0,0.0,21.0,0.0,bending
37,9250,44.5,0.5,14.75,0.43,21.25,0.43,bending
38,9500,44.5,0.5,15.0,0.0,21.25,0.43,bending
39,9750,44.25,0.83,14.5,0.5,21.0,0.0,bending
40,10000,44.5,0.5,15.0,0.0,21.0,0.0,bending
41,10250,44.5,0.5,15.0,0.0,21.0,0.0,bending
42,10500,44.5,0.5,15.0,0.0,21.0,0.0,bending
43,10750,44.5,0.5,14.75,0.43,21.0,0.0,bending
44,11000,43.5,1.12,11.5,0.5,21.75,0.43,bending
45,11250,42.25,0.43,15.25,4.44,23.25,1.92,bending
46,11500,42.0,0.0,14.75,3.42,26.67,2.05,bending
47,11750,44.0,0.82,13.67,1.25,30.25,0.43,bending
48,12000,42.75,0.83,19.75,1.09,30.5,0.87,bending
49,12250,42.0,0.0,20.25,0.83,30.75,0.83,bending
50,12500,42.0,0.0,21.5,0.5,30.67,0.47,bending
51,12750,42.25,0.43,24.0,0.0,30.0,0.0,bending
52,13000,42.5,0.5,24.75,0.43,30.0,0.0,bending
53,13250,42.5,0.5,26.33,0.47,30.0,0.0,bending
54,13500,42.5,0.5,25.25,0.43,29.5,0.5,bending
55,13750,42.67,0.47,24.5,0.5,29.0,0.0,bending
56,14000,42.33,0.47,24.33,0.47,29.75,0.43,bending
57,14250,42.8,0.4,24.8,0.4,29.5,0.5,bending
58,14500,42.5,0.5,24.67,0.47,30.0,0.0,bending
59,14750,42.5,0.5,25.0,0.0,29.25,0.43,bending
60,15000,42.75,0.83,23.5,1.5,29.75,0.43,bending
61,15250,42.75,0.43,13.25,2.86,30.5,0.5,bending
62,15500,43.0,0.71,9.5,5.12,30.25,0.43,bending
63,15750,42.75,0.83,12.5,5.17,30.0,0.0,bending
64,16000,42.5,0.5,19.0,1.22,30.0,0.0,bending
65,16250,42.67,0.47,13.0,2.55,30.33,0.47,bending
66,16500,42.0,0.0,5.5,2.5,30.0,0.0,bending
67,16750,41.75,0.43,4.0,0.0,30.0,0.0,bending
68,17000,42.0,0.0,7.0,1.41,29.5,0.5,bending
69,17250,42.0,0.0,8.25,1.09,30.0,0.0,bending
70,17500,42.0,0.0,12.0,0.0,30.0,0.0,bending
71,17750,42.0,0.0,14.67,2.05,30.0,0.0,bending
72,18000,42.0,0.0,17.0,0.71,30.0,0.0,bending
73,18250,42.0,0.0,15.5,0.5,30.0,0.0,bending
