,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label_col
0,0,44.33,0.47,23.75,0.43,30.0,0.0,bending
1,250,44.5,0.5,24.0,0.0,30.25,0.43,bending
2,500,44.0,0.71,24.0,0.0,30.5,0.5,bending
3,750,43.0,0.71,21.75,1.3,31.5,1.12,bending
4,1000,42.75,0.43,25.0,2.24,35.25,1.3,bending
5,1250,42.25,0.43,28.0,0.71,35.25,1.3,bending
6,1500,42.0,0.0,27.33,0.47,34.25,1.3,bending
7,1750,42.0,0.0,27.0,0.71,33.5,0.87,bending
8,2000,42.0,0.0,27.5,0.5,35.25,1.3,bending
9,2250,42.0,0.0,24.5,1.5,32.25,1.3,bending
10,2500,42.5,0.5,20.25,1.09,30.75,0.83,bending
11,2750,42.25,0.43,23.0,1.73,31.75,0.83,bending
12,3000,42.75,0.43,24.0,0.0,32.33,0.47,bending
13,3250,41.0,0.82,19.0,1.58,31.33,0.47,bending
14,3500,40.5,0.5,20.5,0.5,31.0,0.71,bending
15,3750,41.0,0.71,20.5,0.5,32.75,0.43,bending
16,4000,42.0,0.0,21.0,0.82,33.0,0.0,bending
17,4250,42.5,0.5,22.0,0.71,33.0,0.0,bending
18,4500,42.0,0.0,23.75,0.43,33.0,0.0,bending
19,4750,41.5,0.5,23.75,0.43,31.0,0.71,bending
20,5000,40.5,1.12,19.0,1.87,30.0,0.0,bending
21,5250,37.0,1.22,13.75,0.43,30.0,0.0,bending
22,5500,36.0,0.0,14.0,0.82,30.0,0.0,bending
23,5750,37.2,1.17,11.75,0.43,30.0,0.0,bending
24,6000,40.0,1.0,18.75,2.49,30.0,0.0,bending
25,6250,42.75,0.83,24.0,0.0,31.0,0.89,bending
26,6500,45.0,0.0,24.0,0.0,30.67,0.47,bending
27,6750,45.0,0.0,24.0,0.0,30.0,0.0,bending
28,7000,45.0,0.0,24.0,0.0,30.33,0.47,bending
29,7250,43.25,0.83,24.0,0.0,31.5,0.5,bending
30,7500,41.33,0.94,22.0,1.63,29.75,0.43,bending
31,7750,39.0,0.0,12.33,2.49,28.0,0.71,bending
32,8000,38.6,0.49,3.6,1.96,26.75,0.43,bending
33,8250,39.0,0.0,3.0,1.41,26.5,0.5,bending
34,8500,40.0,0.71,11.25,3.03,27.0,0.0,bending
35,8750,41.67,0.47,21.0,1.63,28.25,0.83,bending
36,9000,42.6,0.8,24.0,0.0,30.0,0.0,bending
37,9250,44.0,0.0,24.0,0.0,30.0,0.0,bending
38,9500,44.5,0.5,23.5,0.5,30.0,0.0,bending
39,9750,43.75,0.83,23.75,0.43,30.25,0.43,bending
40,10000,42.75,0.83,24.0,0.0,29.75,0.43,bending
41,10250,41.25,0.83,19.25,3.03,28.5,0.5,bending
42,10500,40.0,0.82,7.33,3.68,28.0,1.0,bending
